"Tab id","Referer","Timestamp","Event","Element Id","X Path","Which","Extra Info"
"2","-","1664276292245","pageview","-","-","-","http://combine-separate.sorenknudsen.com/|990x699"
"2","-","1664276292246","mouseover","-","/html/1","1","-"
"2","-","1664276292246","mouseenter","-","/html/1","1","-"
"2","-","1664276293078","mousemove","-","/html/1","1","850x16|1310x126"
"2","-","1664276293093","mousemove","-","/html/1","1","853x15|1313x125"
"2","-","1664276293110","mousemove","-","/html/1","1","862x11|1322x121"
"2","-","1664276293127","mousemove","-","/html/1","1","868x8|1328x118"
"2","-","1664276293144","mousemove","-","/html/1","1","872x7|1332x117"
"2","-","1664276293161","mousemove","-","/html/1","1","881x4|1341x114"
"2","-","1664276293177","mousemove","-","/html/1","1","887x2|1347x112"
"2","-","1664276293190","mousemove","-","/html/1","1","891x0|1351x110"
"2","-","1664276293191","mouseout","-","/html/1","1","leftWindow"
"2","-","1664276293191","mouseleave","-","/html/1","1","-"
"0","-","1664276293577","pageview","-","-","-","moz-extension://629e2f12-e6bb-448a-aae2-6c2563581062/popup/loggerPopup.html|216x221"
"2","-","1664276293714","focusout","-","-","-","-"
"2","-","1664276293715","blur","-","-","-","-"
"2","-","1664276293715","focusout","-","-","-","-"
"0","-","1664276293772","focusin","-","-","-","-"
"0","-","1664276293773","focus","-","-","-","-"
"0","-","1664276293774","focusin","-","-","-","-"
"0","-","1664276295083","focusout","-","-","-","-"
"0","-","1664276295084","blur","-","-","-","-"
"0","-","1664276295086","focusout","-","-","-","-"
"2","-","1664276295279","focusin","-","-","-","-"
"2","-","1664276295279","focus","-","-","-","-"
"2","-","1664276295279","focusin","-","-","-","-"
"0","-","1664276295280","unload","-","-","-","-"
"2","-","1664276295577","mouseover","-","/html/1","1","-"
"2","-","1664276295577","mouseenter","-","/html/1","1","-"
"2","-","1664276295593","mousemove","-","/html/1","1","785x7|1245x117"
"2","-","1664276295611","mousemove","-","/html/1","1","622x31|1082x141"
"2","-","1664276295628","mousemove","-","/html/1","1","518x51|978x161"
"2","-","1664276295644","mousemove","-","/html/1","1","415x78|875x188"
"2","-","1664276295661","mousemove","-","/html/1","1","351x99|811x209"
"2","-","1664276295678","mouseout","-","/html/1","1",""
"2","-","1664276295678","mouseleave","-","/html/1","1","-"
"2","-","1664276295678","mouseover","-","/html/1/body/2/h1/1","1","-"
"2","-","1664276295679","mouseenter","-","/html/1/body/2/h1/1","1","-"
"2","-","1664276295679","mousemove","-","/html/1/body/2/h1/1","1","301x118|761x228"
"2","-","1664276295695","mouseout","-","/html/1/body/2/h1/1","1",""
"2","-","1664276295695","mouseleave","-","/html/1/body/2/h1/1","1","-"
"2","-","1664276295695","mouseover","-","/html/1/body/2","1","-"
"2","-","1664276295695","mouseenter","-","/html/1/body/2","1","-"
